United States,Austria,34
"Bonaire, Sint Eustatius, and Saba",United States,16
Senegal,United States,29
United Arab Emirates,United States,165
Grenada,United States,65
Cape Verde,United States,18
United States,Algeria,1
United States,Cape Verde,18
Cyprus,United States,2
United States,Saudi Arabia,54
United States,Gabon,1
United States,Australia,216
United States,Singapore,25
Morocco,United States,16
United States,Argentina,159
United States,Turkey,87
Czech Republic,United States,21
United States,Iceland,129
United States,Qatar,40
United States,Germany,1406
United States,Bolivia,39
United States,Bermuda,180
United States,Ireland,264
Kazakhstan,United States,3
United States,Sint Maarten,53
United States,Venezuela,341
United States,Saint Kitts and Nevis,127
Martinique,United States,23
Portugal,United States,102
United States,Peru,284
Italy,United States,390
France,United States,774
United States,Aruba,349
United States,United Kingdom,1503
Sint Maarten,United States,61
United States,United Arab Emirates,156
United States,Saint Barthelemy,29
United States,Ukraine,17
Vietnam,United States,1
United States,Liberia,1
United States,Ecuador,345
China,United States,448
Greece,United States,50
United States,Malta,2
Switzerland,United States,315
United States,New Zealand,71
Georgia,United States,2
United States,Netherlands Antilles,289
United States,Kuwait,25
Federated States of Micronesia,United States,46
Liberia,United States,1
